0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0.22,0.424,1.377,1.693,1.951,2.503,3.297,4.254,5.289,6.362,7.454,8.052,8.465,8.862,9.319,9.894,10.598,11.413,12.315,13.13,13.76,14.564,15.444,16.376,17.57,18.342,19.359,20.393,21.438,22.798,23.556,24.121,24.839,25.469,26.145,26.876,27.663,28.459,29.128,29.758,30.454,31.31,32.157,32.9,33.971,34.937,36.064,36.955,37.746,38.478,39.145,39.783,40.419,41.091,41.788,42.578,43.309,43.932,44.933,46.278,47.317,48.367,49.426,50.48,51.227,52.61,53.681,54.435,55.833,56.912,57.992,58.739,59.492,60.271,61.082,61.906,62.761,63.645,64.709,65.657,66.447,67.205,67.907,68.578,69.232,69.885,70.552,71.32,72.043,72.654,73.242,74.375,75.308,76.267,77.493,78.49,79.263,80.285,81.318
0.24,0.373,1.295,1.648,1.864,2.336,3.058,3.963,4.965,6.02,7.102,7.764,8.205,8.592,9.004,9.51,10.138,10.881,11.721,12.55,13.225,14.006,14.859,15.765,16.893,17.686,18.685,19.704,20.737,22.057,22.836,23.52,24.135,24.739,25.372,26.052,26.784,27.576,28.28,28.904,29.572,30.348,31.153,31.897,32.886,33.815,34.868,35.774,36.581,37.337,38.016,38.652,39.267,39.904,40.557,41.32,42.064,42.686,43.663,44.967,45.989,47.026,48.074,49.119,49.878,51.234,52.3,53.07,54.445,55.521,56.601,57.369,58.119,58.88,59.663,60.457,61.278,62.127,63.125,64.039,64.828,65.6,66.31,66.987,67.634,68.269,68.907,69.653,70.389,71.014,71.602,72.668,73.568,74.496,75.663,76.636,77.419,78.421,79.437
0.25,0.35,1.254,1.626,1.828,2.263,2.949,3.825,4.808,5.851,6.928,7.618,8.078,8.465,8.859,9.335,9.927,10.633,11.441,12.268,12.961,13.732,14.572,15.465,16.561,17.364,18.354,19.364,20.39,21.687,22.478,23.174,23.791,24.386,25.001,25.658,26.364,27.148,27.863,28.485,29.141,29.881,30.665,31.409,32.356,33.267,34.283,35.192,36.007,36.774,37.462,38.1,38.709,39.333,39.967,40.713,41.456,42.078,43.042,44.323,45.336,46.364,47.406,48.444,49.209,50.549,51.611,52.39,53.75,54.825,55.903,56.683,57.434,58.189,58.961,59.742,60.548,61.38,62.344,63.241,64.029,64.807,65.523,66.204,66.852,67.481,68.109,68.841,69.576,70.208,70.798,71.829,72.712,73.624,74.759,75.719,76.507,77.498,78.504
0.26,0.328,1.214,1.604,1.795,2.195,2.846,3.693,4.655,5.685,6.754,7.471,7.951,8.341,8.722,9.17,9.727,10.398,11.172,11.994,12.701,13.462,14.289,15.169,16.232,17.045,18.025,19.027,20.046,21.319,22.122,22.83,23.452,24.041,24.641,25.276,25.957,26.729,27.452,28.071,28.716,29.424,30.188,30.93,31.837,32.728,33.708,34.619,35.44,36.218,36.915,37.556,38.163,38.776,39.393,40.121,40.859,41.481,42.432,43.688,44.69,45.71,46.743,47.775,48.546,49.868,50.926,51.714,53.058,54.13,55.206,55.998,56.752,57.502,58.265,59.034,59.825,60.641,61.571,62.452,63.239,64.022,64.743,65.43,66.08,66.706,67.325,68.043,68.775,69.412,70.005,71.001,71.866,72.763,73.865,74.811,75.603,76.582,77.577
0.28,0.287,1.136,1.559,1.739,2.077,2.658,3.445,4.363,5.363,6.412,7.176,7.698,8.103,8.467,8.869,9.363,9.964,10.671,11.468,12.194,12.933,13.735,14.589,15.588,16.417,17.378,18.361,19.365,20.589,21.417,22.151,22.787,23.37,23.947,24.545,25.181,25.922,26.648,27.263,27.889,28.538,29.263,29.998,30.829,31.68,32.592,33.498,34.329,35.125,35.841,36.495,37.102,37.702,38.294,38.982,39.702,40.321,41.244,42.448,43.428,44.427,45.443,46.458,47.24,48.523,49.57,50.375,51.683,52.748,53.817,54.634,55.396,56.141,56.888,57.637,58.403,59.189,60.056,60.902,61.687,62.478,63.21,63.909,64.567,65.193,65.802,66.491,67.21,67.855,68.454,69.38,70.211,71.074,72.11,73.027,73.824,74.777,75.749
0.3,0.251,1.06,1.513,1.692,1.979,2.494,3.219,4.089,5.054,6.079,6.881,7.446,7.873,8.231,8.6,9.039,9.576,10.216,10.977,11.705,12.423,13.198,14.026,14.965,15.806,16.744,17.709,18.696,19.869,20.72,21.481,22.136,22.724,23.288,23.857,24.453,25.158,25.875,26.483,27.092,27.692,28.382,29.104,29.866,30.675,31.523,32.416,33.251,34.059,34.794,35.465,36.079,36.675,37.251,37.904,38.598,39.212,40.104,41.256,42.21,43.186,44.18,45.176,45.965,47.208,48.24,49.059,50.329,51.384,52.444,53.282,54.054,54.799,55.536,56.27,57.013,57.773,58.582,59.395,60.177,60.97,61.712,62.425,63.093,63.725,64.332,64.996,65.696,66.345,66.951,67.81,68.607,69.436,70.408,71.293,72.091,73.016,73.96
0.32,0.22,0.988,1.465,1.652,1.897,2.351,3.014,3.834,4.761,5.758,6.588,7.194,7.648,8.011,8.357,8.752,9.231,9.807,10.521,11.24,11.934,12.682,13.482,14.365,15.211,16.127,17.072,18.04,19.162,20.034,20.82,21.498,22.097,22.656,23.206,23.771,24.437,25.135,25.734,26.327,26.888,27.543,28.25,28.949,29.717,30.505,31.378,32.21,33.025,33.775,34.464,35.09,35.69,36.259,36.881,37.546,38.153,39.014,40.113,41.04,41.991,42.961,43.935,44.729,45.929,46.944,47.772,49.004,50.046,51.095,51.95,52.733,53.479,54.21,54.932,55.658,56.395,57.152,57.935,58.711,59.503,60.253,60.977,61.658,62.301,62.912,63.556,64.235,64.884,65.497,66.294,67.058,67.853,68.763,69.615,70.409,71.303,72.219
0.34,0.193,0.92,1.417,1.616,1.829,2.227,2.831,3.599,4.484,5.451,6.298,6.943,7.426,7.8,8.134,8.494,8.923,9.441,10.103,10.8,11.467,12.187,12.959,13.79,14.634,15.527,16.45,17.398,18.472,19.359,20.169,20.87,21.486,22.048,22.587,23.128,23.758,24.43,25.018,25.596,26.126,26.749,27.435,28.079,28.807,29.54,30.387,31.21,32.025,32.786,33.491,34.131,34.741,35.31,35.909,36.545,37.145,37.975,39.022,39.92,40.844,41.789,42.74,43.533,44.69,45.686,46.52,47.712,48.739,49.774,50.642,51.435,52.185,52.912,53.627,54.339,55.056,55.769,56.523,57.292,58.079,58.833,59.566,60.26,60.915,61.535,62.167,62.826,63.473,64.091,64.832,65.564,66.326,67.178,67.997,68.783,69.645,70.531
0.35,0.18,0.887,1.393,1.6,1.799,2.171,2.747,3.489,4.353,5.302,6.156,6.817,7.316,7.698,8.029,8.376,8.782,9.272,9.908,10.59,11.244,11.949,12.705,13.513,14.353,15.233,16.145,17.084,18.133,19.027,19.847,20.56,21.185,21.751,22.288,22.82,23.432,24.09,24.673,25.243,25.76,26.368,27.042,27.662,28.37,29.077,29.91,30.725,31.538,32.303,33.016,33.663,34.279,34.85,35.44,36.063,36.659,37.474,38.496,39.379,40.289,41.221,42.16,42.951,44.087,45.073,45.908,47.081,48.099,49.127,49.998,50.796,51.548,52.274,52.986,53.692,54.401,55.094,55.835,56.6,57.383,58.138,58.875,59.575,60.236,60.862,61.489,62.14,62.785,63.405,64.121,64.838,65.584,66.409,67.212,67.991,68.838,69.707
0.36,0.169,0.856,1.369,1.583,1.771,2.12,2.667,3.383,4.225,5.158,6.015,6.691,7.205,7.597,7.928,8.262,8.649,9.113,9.722,10.388,11.027,11.717,12.458,13.242,14.078,14.945,15.845,16.773,17.799,18.698,19.527,20.253,20.888,21.459,21.995,22.52,23.116,23.76,24.336,24.899,25.404,25.998,26.66,27.257,27.944,28.628,29.444,30.252,31.06,31.828,32.547,33.202,33.824,34.399,34.981,35.593,36.185,36.985,37.982,38.851,39.747,40.666,41.591,42.38,43.496,44.471,45.305,46.459,47.469,48.488,49.363,50.164,50.918,51.644,52.354,53.055,53.756,54.432,55.16,55.92,56.698,57.453,58.193,58.899,59.566,60.198,60.823,61.466,62.11,62.731,63.423,64.126,64.857,65.655,66.441,67.214,68.045,68.898
